Model,Params (M),Precision,Recall,mAP50,mAP50-95,Inference Time (s)
YOLO11n,2.62,0.03529822579367089,0.13615297086986505,0.015924417781360438,0.006862201548306901,16.74
YOLOv8n,3.15,0.06378576958512323,0.04879998795206224,0.015840417393381098,0.006961834828852471,17.4
YOLOv5n,2.65,0.0573348222450983,0.051796547360541866,0.014856876008323795,0.006667760834631589,21.73
YOLOv9c,25.38,0.039914101171713075,0.1732280922055824,0.03130205806277054,0.014687303460654229,26.05
